business_category,business_age,country,monthly_revenue,avg_transaction_value,chargeback_ratio,negative_reviews_ratio,previous_fraud_reports,suspicious_activity_flag
retail,5,US,100000,2500,0.15,0.25,1,1
restaurant,3,CA,120000,1800,0.08,0.12,0,0
e-commerce,8,GB,200000,5000,0.05,0.08,0,0
services,2,US,45000,1200,0.25,0.45,3,1
travel,10,AU,150000,3500,0.12,0.15,1,0
retail,4,SG,95000,2800,0.18,0.30,2,1
restaurant,6,CA,75000,1500,0.10,0.20,0,0
e-commerce,7,US,180000,4200,0.22,0.35,2,1
services,9,GB,250000,8000,0.07,0.10,0,0
travel,12,AU,300000,6000,0.09,0.18,1,0 
